EMPRESA,NIT,PLACA,ANO DE FABRIC./MODELO,RENAVAM,N° CHASSI,VISTORIADO,N° DE SELO,AR CONDICIONADO,DISPOSITIVO DE ACESSIBILIDADE,PASSAGEIROS SENTADOS,GPS,CAMERA,N° DO PROCESSO DE VISTORIA,OBSERVAÇÃO,CONSORCIO
INGÁ,1.1.001,SRG-4I24,2023/2024,1372617890,9532A8TU6RR057083,2024,139.0,SIM,SIM,42,SIM,SIM,9900070278/24,Veículo anterior baixado - Proc. N° 080003345/21,TRANSNIT
INGÁ,1.1.002,KOY-8777,2012/2012,495032867,9BM382189CB870217,2024,211.0,SIM,SIM,39,SIM,SIM,9900070306/24,Portaria SMU n° 167/2022 - publicado em 02/12/22,TRANSNIT
INGÁ,1.1.006,LRV-9826,2014/2015,1040477060,9532G82W7FR508440,2024,298.0,SIM,SIM,43,SIM,SIM,9900070803/24,,TRANSNIT
INGÁ,1.1.007,LME-8104,2014/2015,1040369933,9532G82W2FR508524,2024,556.0,SIM,SIM,43,SIM,SIM,9900070828/24,,TRANSNIT
INGÁ,1.1.015,KQW-4185,2014/2015,1040320225,9532G82W2FR508412,2024,269.0,SIM,SIM,43,SIM,SIM,9900070784/24,,TRANSNIT
INGÁ,1.1.016,KPU-6999,2014/2014,1020382144,9532E82W8ER435566,2024,294.0,SIM,SIM,33,SIM,SIM,9900070804/24,,TRANSNIT
INGÁ,1.1.020,KQW-4649,2014/2015,1040481210,9532G82W1FR508479,2024,491.0,SIM,SIM,46,SIM,SIM,9900070889/24,,TRANSNIT
INGÁ,1.1.023,KOY-7131,2012/2012,492778612,9BM382189CB870257,2024,29.0,SIM,SIM,39,SIM,SIM,9900070320/24,Portaria SMU n° 167/2022 - publicado em 02/12/22,TRANSNIT
INGÁ,1.1.024,LRC-2467,2014/2014,1020384007,9532E82W4ER435564,2024,158.0,SIM,SIM,33,SIM,SIM,9900070329/24,,TRANSNIT
INGÁ,1.1.025,KOY-8779,2012/2012,495034100,9BM382189CB870894,2024,161.0,SIM,SIM,39,SIM,SIM,9900070786/24,Portaria SMU n° 167/2022 - publicado em 02/12/22,TRANSNIT
INGÁ,1.1.026,KWI-6642,2011/2011,1093716492,9BM382189BB781014,2024,293.0,SIM,SIM,46,SIM,SIM,9900070806/24,Portaria SMU n° 011/2024 - prorrogação da vida util ,TRANSNIT
INGÁ,1.1.027,LRC-2E61,2014/2014,1019654209,9532E82W7ER435803,2024,349.0,SIM,SIM,33,SIM,SIM,9900070831/24,,TRANSNIT
INGÁ,1.1.028,LRC-2468,2014/2014,1020386972,9532E82W4ER435824,2024,395.0,SIM,SIM,33,SIM,SIM,9900070850/24,,TRANSNIT
INGÁ,1.1.029,KWI-6622,2014/2014,1021881896,9532E82W0ER422245,2024,442.0,SIM,SIM,33,SIM,SIM,9900070878/24,,TRANSNIT
INGÁ,1.1.032,KPQ-3393,2012/2012,493728201,9BM382189CB870959,2024,212.0,SIM,SIM,39,SIM,SIM,9900070307/24,,TRANSNIT
INGÁ,1.1.033,LME-8112,2014/2015,1040376336,9532G8W4FR508458,2024,71.0,SIM,SIM,43,SIM,SIM,990000322/24,,TRANSNIT
INGÁ,1.1.036,LMM-7952,2016/2016,1141793790,9532G82W0GR609062,2024,295.0,SIM,SIM,39,SIM,SIM,9900070810/24,Portaria SMU n° 011/2024 - prorrogação da vida util ,TRANSNIT
INGÁ,1.1.040,KWI-6618,2014/2014,1021875713,9532E82W1ER422108,2024,499.0,SIM,SIM,33,SIM,SIM,9900070890/24,,TRANSNIT
INGÁ,1.1.041,LRV-9812,2014/2015,1040466599,9532G82W2FR508507,2024,140.0,SIM,SIM,43,SIM,SIM,9900070288/24,,TRANSNIT
INGÁ,1.1.045,KPK-2395,2012/2012,493725652,9BM382189CB871125,2024,170.0,SIM,SIM,39,SIM,SIM,9900070789/24,Portaria SMU n° 167/2022 - publicado em 02/12/22,TRANSNIT
INGÁ,1.1.049,LMT-4G83,2018/2019,1183967052,9532G82W4KR924228,2024,449.0,SIM,SIM,41,SIM,SIM,9900070881/24,,TRANSNIT
INGÁ,1.1.050,LMT-5A96,2018/2019,1184048018,9532G82WXKR924248,2024,494.0,SIM,SIM,41,SIM,SIM,9900070894/24,,TRANSNIT
INGÁ,1.1.051,LTP-9E22,2018/2019,1184105291,9532G82W6KR924344,2024,138.0,SIM,SIM,41,SIM,SIM,9900070289/24,Veículo anterior baixado - Proc. N° 080001619/19,TRANSNIT
INGÁ,1.1.052,LMT-5C74,2018/2019,1184094060,9532G82W9KR923057,2024,205.0,SIM,SIM,41,SIM,SIM,9900070308/24,Veículo anterior baixado - Proc. N° 080001620/19,TRANSNIT
INGÁ,1.1.053,LMT-5C98,2018/2019,1184102349,9532G82WXKR924346,2024,30.0,SIM,SIM,41,SIM,SIM,9900070323/24,Veículo anterior baixado - Proc. N° 080001621/19,TRANSNIT
INGÁ,1.1.056,KQQ-6330,2013/2014,1285061419,9532E82W1ER413893,2024,296.0,SIM,SIM,35,SIM,SIM,9900070818/24,Portaria SMU n° 011/2024 - prorrogação da vida util ,TRANSNIT
INGÁ,1.1.057,KYA-6318,2014/2015,1040474320,9532G82W2FR508684,2024,347.0,SIM,SIM,43,SIM,SIM,9900070834/24,,TRANSNIT
INGÁ,1.1.058,LRL-6069,2013/2014,1155162983,9532E82WXER414038,2024,,SIM,SIM,35,SIM,SIM,9900070852/24,,TRANSNIT
INGÁ,1.1.059,KYL-9406,2013/2014,1155157912,9532E82W0ER413903,2024,453.0,NÃO,SIM,35,SIM,SIM,9900070883/24,,TRANSNIT
INGÁ,1.1.060,KYO-6929,2016/2016,1141793170,9532G82WXGR608954,2024,488.0,SIM,SIM,39,SIM,SIM,9900070896/24,,TRANSNIT
INGÁ,1.1.061,LTH-7923,2016/2016,1141793730,9532G82W7GR609057,2024,141.0,SIM,SIM,39,SIM,SIM,9900070291/24,,TRANSNIT
INGÁ,1.1.062,LRL-6629,2013/2014,1165164563,9532E82W2ER414051,2024,208.0,SIM,SIM,35,SIM,SIM,9900070311/24,,TRANSNIT
INGÁ,1.1.064,KOY-7130,2012/2012,492777667,9BM382189CB850382,2024,152.0,SIM,SIM,39,SIM,SIM,9900070333/24,Portaria SMU n° 167/2022 - publicado em 02/12/22,TRANSNIT
INGÁ,1.1.065,KOY-8778,2012/2012,495033359,9BM382189CB850368,2024,225.0,SIM,SIM,39,SIM,SIM,9900070790/24,Portaria SMU n° 167/2022 - publicado em 02/12/22,TRANSNIT
INGÁ,1.1.066,LRD-4278,2012/2012,492776466,9BM382189CB850383,2024,300.0,SIM,SIM,39,SIM,SIM,9900070819/24,Portaria SMU n° 011/2024 - prorrogação da vida util,TRANSNIT
INGÁ,1.1.067,LQM-3569,2012/2012,495031933,9BM382189CB850360,2024,396.0,SIM,SIM,39,SIM,SIM,9900070837/24,Portaria SMU n° 167/2022 - publicado em 02/12/22,TRANSNIT
INGÁ,1.1.068,KPA-5566,2012/2012,495030953,9BM382189CB850374,2024,397.0,SIM,SIM,39,SIM,SIM,9900070854/24,Portaria SMU n° 167/2022 - publicado em 02/12/22,TRANSNIT
INGÁ,1.1.069,KVY-5873,2012/2012,528296175,9BVR6R629CE360033,2024,451.0,SIM,SIM,39,SIM,SIM,9900070884/24,,TRANSNIT
INGÁ,1.1.070,KVY-5872,2012/2012,528292790,9BVR6R623CE360044,2024,496.0,SIM,SIM,39,SIM,SIM,9900070899/24,Portaria SMU n° 167/2022 - publicado em 02/12/22,TRANSNIT
INGÁ,1.1.071,KQP-6385,2013/2014,1165161947,9532E82W7ER414255,2024,142.0,SIM,SIM,35,SIM,SIM,990007292/24,,TRANSNIT
INGÁ,1.1.072,KYE-5816,2013/2014,1165151925,9532E82W0ER412105,2024,206.0,SIM,SIM,35,SIM,SIM,9900070312/24,Portaria SMU n° 011/2024 - prorrogação da vida util,TRANSNIT
INGÁ,1.1.073,KQP-6702,2013/2014,1175132494,9532E82WXER413570,2024,31.0,SIM,SIM,35,SIM,SIM,9900070324/24,,TRANSNIT
INGÁ,1.1.074,KQP-6712,2013/2014,1175135833,9532E82W7ER413011,2024,160.0,SIM,SIM,35,SIM,SIM,9900070343/24,,TRANSNIT
INGÁ,1.1.075,KQP-6715,2013/2014,1175144468,9532E82W8ER412840,2024,270.0,SIM,SIM,35,SIM,SIM,9900070796/24,,TRANSNIT
INGÁ,1.1.076,LMC-1941,2013/2014,1155153100,9532E82W6ER413615,2024,301.0,SIM,SIM,35,SIM,SIM,9900070822/24,Portaria SMU n° 011/2024 - prorrogação da vida util,TRANSNIT
INGÁ,1.1.077,LRC-2459,2014/2014,1018768421,9532E82W1ER422190,2024,350.0,SIM,SIM,33,SIM,SIM,9900070839/27,,TRANSNIT
INGÁ,1.1.078,LRC-2458,2014/2014,1018764345,9532E82W1ER422271,2024,399.0,SIM,SIM,33,SIM,SIM,9900070856/24,,TRANSNIT
INGÁ,1.1.079,KPU-6996,2014/2014,1018770760,9532E82W2ER422117,2024,486.0,SIM,SIM,33,SIM,SIM,9900070885/24,,TRANSNIT
INGÁ,1.1.080,LRC-2462,2014/2014,1019655221,9532E82W2ER422229,2024,493.0,SIM,SIM,33,SIM,SIM,9900070901/24,,TRANSNIT
INGÁ,1.1.082,LSX-6706,2014/2015,1040531153,9532G82WXFR508416,2024,210.0,SIM,SIM,43,SIM,SIM,9900070314/24,,TRANSNIT
INGÁ,1.1.084,KPU-6998,2014/2014,1019665910,9532E82W2ER422263,2024,233.0,SIM,SIM,33,SIM,SIM,9900070344/24,,TRANSNIT
INGÁ,1.1.087,KWR-7741,2014/2015,1040372195,9532G82WXFR508674,2024,,SIM,SIM,43,SIM,SIM,9900070846/24,,TRANSNIT
INGÁ,1.1.089,LQQ-2639,2012/2012,515253588,9BM382189CB871911,2024,452.0,SIM,SIM,45,SIM,SIM,9900070887/24,Portaria SMU n° 167/2022 - publicado em 02/12/22,TRANSNIT
INGÁ,1.1.090,KVY-5871,2012/2012,528290045,9BM382189CB871722,2024,495.0,SIM,SIM,45,SIM,SIM,9900070904/24,Portaria SMU n° 167/2022 - publicado em 02/12/22,TRANSNIT
INGÁ,1.1.092,LQQ-2616,2012/2012,511865201,9BM382189CB873253,2024,207.0,SIM,SIM,45,SIM,SIM,9900070315/24,Portaria SMU n° 167/2022 - publicado em 02/12/22,TRANSNIT
INGÁ,1.1.102,KYO-6569,2016/2016,1141912292,9532G82W1GR607921,2024,209.0,SIM,SIM,39,SIM,SIM,9900070318/24,,TRANSNIT
INGÁ,1.1.103,KYO-8279,2016/2016,1142411645,9532G82W5GR609123,2024,32.0,SIM,SIM,39,SIM,SIM,9900070326/24,,TRANSNIT
INGÁ,1.1.104,KYO-8283,2016/2016,1142423074,9532G82W7GR609060,2024,153.0,SIM,SIM,39,SIM,SIM,9900070352/24,,TRANSNIT
INGÁ,1.1.105,LMM-8339,2016/2016,1142409616,9532G82W1GR609040,2024,271.0,SIM,SIM,39,SIM,SIM,9900070801/24,,TRANSNIT
INGÁ,1.1.106,KQW-4C31,2014/2015,1040374341,9532G82W7FR508681,2024,299.0,SIM,SIM,43,SIM,SIM,9900070823/24,,TRANSNIT
INGÁ,1.1.107,KYO-8268,2016/2016,1142403928,9532G82W2GR608950,2024,352.0,SIM,SIM,39,SIM,SIM,9900070847/24,,TRANSNIT
INGÁ,1.1.108,KYP-8906,2016/2016,1142921406,9532G82W2GR609029,2024,388.0,SIM,SIM,39,SIM,SIM,9900070857/24,,TRANSNIT
INGÁ,1.1.110,KYP-8900,2016/2016,1142916704,9532G82W9GR608962,2024,498.0,SIM,SIM,39,SIM,SIM,9900070906/24,Veículo anterior baixado - Proc. Nº 080000712/18,TRANSNIT
INGÁ,1.1.124,KYO-9110,2016/2016,1142655943,9532G82W3GR609122,2024,162.0,SIM,SIM,39,SIM,SIM,9900070777/24,,TRANSNIT
INGÁ,1.1.126,KWI-6621,2014/2014,1021880270,9532E82W2ER437006,2024,297.0,SIM,SIM,33,SIM,SIM,9900070825/24,,TRANSNIT
INGÁ,1.1.127,LRC-2466,2014/2014,1020382888,9532E82W3ER435636,2024,353.0,SIM,SIM,33,SIM,SIM,9900070849/24,,TRANSNIT
INGÁ,1.1.128,KYQ-9662,2016/2016,1144681674,9532G82W4GR608982,2024,401.0,SIM,SIM,39,SIM,SIM,9900070861/24,,TRANSNIT
INGÁ,1.1.138,LRC-2464,2014/2014,1019662937,9532G82W4ER435266,2024,400.0,SIM,SIM,41,SIM,SIM,9900070872/24,,TRANSNIT
INGÁ,1.1.144,KWI-6619,2014/2014,1021876612,9532G82W0ER435264,2024,159.0,SIM,SIM,41,SIM,SIM,9900070782/24,,TRANSNIT
